Id,Prediction
gooddick,-1308610.894620
grantorino,7206326.462619
hamlet2,-3468970.304050
hammer,-2788037.242506
hancock,48928880.683557
happening,27983551.484541
happygolucky,-2869222.105596
Haroldandkumarescape,12338060.975128
harvardbeatsyale,-1867983.841211
hauntingofmollyhartley,10250810.641577
hellboy2,41423315.003576
hellride,787436.778616
henrypoole,-2352093.105938
holdingtrevor,-2592337.830808
hortonhears,27467239.692872
hottieandthenottie,-2793141.144183
hounddog,-3444763.234584
housebunny,15617542.526903
howaboutyou,-3565311.172451
howshemove,10014487.148933
howtorobabank,-964010.560100
hsm3,18233431.148863
hunger,2553762.214692
igor,13590919.778907
inbruges,7736384.719819
incrediblehulk,49572015.329836
indianajones4,75299122.828932
inthenameoftheking,7038988.589981
irinapalm,-3592968.415829
ironman,54825734.368556
ivelovedyousolong,-4316061.467066
jcvd,-1530052.432855
jihadforlove,443937.792162
journeytothecenteroftheearth,20529185.771632
jumper,31962724.186983
kabluey,-302115.572146
kissthebride,-161985.107380
kitkittredge,-629585.418109
kungfupanda,17732916.954630
lakecity,-992957.641041
lakeviewterrace,16133947.203691
lastchanceharvey2008,-1693410.568047
leatherheads,17301878.093148
loureedsberlin,-2975177.191489
loveguru,15255196.785949
lowerlearning,-1459211.890448
luckyones,-2395244.044038
madeofhonor,23928279.560243
madmoney,7671478.222373
mammamia,6586812.603321
manonwire,4866627.962677
marleyandme,14933440.796440
marriedlife,7509344.303853
matador2008,-101507.769267
maxpayne,17960605.572019
meetbill,-395686.213361
meetdave,27996857.945442
meetthespartans,23208902.157170
milk2008,5885408.305985
miracleatstanna,13225279.034054
mirrors,12825248.190866
missconception,-1756967.713563
misspettigrewlivesforaday,855404.315299
misterfoe,-715102.153890
misterlonely,-2615125.214052
mommasman,3242682.507397
mongol,944043.198659
morninglight,-1140802.726038
movingmidway,1502535.672806
mummy3,50636328.635254
mybestfriendsgirl,16879175.863403
myblueberrynights2008,5139632.210108
neverbackdown,12047129.533250
nickandnorah,15558592.306077
nightsinrodanthe,7782018.441820
nimsisland,16277212.738863
nobelson2008,-26814.186976
nothingliketheholidays,5323321.779504
onemissedcall2007,9437943.211583
ontherumbariver,-719055.360731
otherboleyngirl,13625683.793564
otherendoftheline,-2544500.174950
overherdeadbody,7815564.763394
paranoidpark,3074559.530756
passengers2008,-1862347.767808
pathology,-2921691.909301
pattismith,-945608.475539
penelope,980823.454343
pineappleexpress,24351703.683224
pingpongplaya,-2695249.908383
pirateswhodon'tdoanything,4519466.239757
planetbboy,-48690.035368
prayingwithlior,-54817.904948
praythedevilbacktohell,1948289.001851
prideandglory,19395060.052242
princecaspian,73756128.508129
promnight,10773677.270745
promotion,-2851369.071430
punisher2,18400060.048925
quantumofsolace,67597434.348034
quarantine,13640981.457070
rachelgettingmarried,1150649.764677
rambo2007,23184270.312042
reader,2437585.199886
redbelt,1201552.368385
religulous,5662825.437287
repo,763723.359674
revolutionaryroad,1243886.917232
righteouskill,22623436.661205
rocker,13615637.555765
rocknrolla,2050427.167128
rogue,-171569.151834
rolemodels,1837053.430294
romanpolanski,-6284407.726077
romulusmyfather,-619698.169399
roscoejenkins,16320690.196922
ruins,14202174.496837
runfatboyrun,3294543.776385
savagegrace,263770.725759
saveme,-2556655.367192
sawv,17312157.150375
secretlifeofbees,12392002.080767
semipro,8991228.564912
sevenpounds2008,26297510.822002
sexanddeath101,-1793985.769420
sexdrive,12392583.264766
shinealight,-999013.502100
shotgunstories,230930.113754
shrooms,13812.447577
shutter,12319337.628537
signal,1532220.962612
sisterhood2,18434744.565343
sleepwalking,-3865331.171168
slumdogmillionaire,1394929.789491
smartpeople,4843901.341858
snowangels,8014074.923918
sonoframbow,2583379.450808
soulmen,5627316.213038
special,-1242145.716380
spacechimps,15712734.039672
speedracer,32412881.360438
spiderwickchronicles,33946392.268047
spirit2008,16932603.418678
splinter,1665531.990174
standardoperatingprocedure,-3875447.279145
stepbrothers,12314452.805132
stepup2thestreets,15298747.556272
stoneangel,-1794675.659130
strangers,13176749.527406
strangewilderness,6472143.943385
streetkings,11147355.294136
stuck,642183.331884
sukiyaki,-2026143.429964
superheromovie,16502831.491301
surferdude,-2593534.318323
surfwise,1895383.606088
swingvote,8433907.371518
synecdocheny,1305537.241075
take2007,348478.847448
taleofdespereaux2008,7353742.207227
taxitothedarkside,-476164.245222
teeth,1715546.241244
thenshefoundme,-201766.667301
thousandyearsofgoodprayers,-615284.024850
tothelimit,-1921133.821160
towelhead,1151911.074181
traceyfragments,-1091478.057121
trailerparkboys,5977891.794680
traitor,8623851.214790
transsiberian,190937.973008
tropicthunder,24516762.276625
troublethewater,253438.261045
truloved,-1139682.530403
turntheriver,663403.755522
twilight2008,21855286.083913
untraceable,14424456.795670
valkyrie,27234559.976591
vantagepoint,14472633.306307
vickycristinabarcelona,-1611039.363197
visitor2007,-1241446.433416
wackness,837221.778462
walle,55564424.771388
waltzwithbashir2008,-445357.054724
wanted,38075645.590516
warinc,-865583.534985
wendyandlucy,-5963351.587106
whathappensinvegas,14117886.361968
whatwedoissecret,212731.449030
whereisosamabinladen,-9844499.286802
wildwestcomedyshow,7838911.439103
withouttheking,1354518.843086
witlessprotection,5127115.819048
women2008,17854563.998751
wrestler2008,2135291.533621
w,6656839.380516
xfilesiwanttobelieve,26135342.072276
yesman,17881801.825819
youdontmesswiththezohan,14518965.271712
zackandmiri,24853930.222802
12rounds,14635479.401068
2012,15616783.525425
9,15245411.519204
adam,-1405255.555356
adoration,-4060556.954034
adventureland,10471802.736499
aliensintheattic,16761839.138851
alientrespass,1098407.651661
allaboutsteve,1656374.621469
amelia,6838837.238061
americanaffair,-2948996.123790
americanswing,2018082.596553
americanviolet,-116257.641012
amreeka,219971.301416
angelsanddemons,65467323.763801
answerman,-3678247.748616
anvilthestoryofanvil,-1104262.288458
armored,9410485.957862
astroboy,31296823.003309
awaywego,-4487440.509248
bandslam,8511922.795018
bartgotaroom,-907269.437147
battleforterra,1440620.837562
beachesofagnes,-999688.482679
beyondareasonabledoubt,-1383865.839355
bigfan,-439562.910604
bigmanjapan,-396716.854621
blackdynamite,-49258.484613
blinddate,-734860.468762
blindside,23399079.399636
bliss,273763.026049
bobfunk,-2578822.899663
boondocksaints2,847896.933223
box,15782505.081562
boysareback,5139516.334692
bridewars,19897592.534948
briefinterviewswithhideousmen,-2647348.519851
brightstar,2927553.756834
brokenembraces,6032835.665051
bronson,87567.785117
brothersbloom,-2859209.803200
bruno,17510276.355210
burningplain,-2313256.076847
capitalism,3743964.088378
casidivas,-133104.612860
chandnichowktochina,601039.423333
chelseaontherocks,1032956.509038
cheri,-8448708.594810
cherryblossoms,-3714904.647750
cloudywithachanceofmeatballs,31082153.588445
cocobeforechanel,-485236.324902
coldsouls,-3165529.418965
coraline,20194241.574580
couplesretreat,24783190.695330
cove,-1862305.207102
crankhighvoltage,10483018.886753
crossingover,-5043619.099172
crude2009,-1089624.406019
damnedunited,2390419.799546
danceflick,19612943.839727
dare,3921359.692367
deadsnow,-734587.670315
departures,-2674362.944821
didyouhearaboutthemorgans2009,9232070.540732
district9,26409991.479670
downloadingnancy,-2102621.818361
dragmetohell,27454098.135716
dragonballevolution,9832280.935496
duplicity,18640396.454081
earth2009,12685158.093870
easyvirtue,2194713.585702
edgeoflove,-2188156.474217
endgame,-1414142.873371
everybodysfine,8918188.543603
everylittlestep,-4123231.245011
examinedlife,2754738.197017
explicitills,-765506.267874
extract,10062537.133728
fados,-464575.942835
fame,19439617.256429
fanboys,-1936865.175020
fantasticmrfox,3543109.593685
fastandfurious4,19442658.793068
fighting,12299511.132925
finaldestination4,23053441.021711
firedup,6820918.090476
fix,-1142556.360186
foodinc,3394260.432442
fridaythe13th2009,20243569.098602
funnypeople,24783957.849749
gamer,12625568.156272
gentlemenbroncos,500176.201395
gforce,31277810.676473
ghostsofgirlfriendspast,12132948.507200
gigante,1048882.406617
gigantic,-2602271.996808
girlfriendexperience,-4457885.250381
gogolbordellononstop,-77592.678495
goodbyesolo,-39641.925302
goodhair,4475188.241162
goods,12220711.700260
grace,-1556712.324905
greatbuckhoward,-465438.206268
halloweenii2009,16406123.393459
hangover,17871218.418016
hannahmontanathemovie,12506785.199194
harrypotter6,128144765.542817
hauntinginconnecticut,11838178.045737
hesjustnot,2228650.361965
hotelfordogs,11537000.708267
humpday,-378821.274418
hurtlocker,2161479.258738
icandobadallbymyself,10314627.716408
iceage3,49950863.612671
ihatevalentinesday,-564951.417135
ildivo,7454324.414370
ihopetheyservebeerinhell,-1997858.501325
iloveyoubethcooper,11767692.433587
iloveyouman,5904989.232867
imaginethat,23993525.735917
informers,-4899993.242294
inglouriousbasterds,20433128.393962
inkheart,25427100.670714
international,9173949.080783
intheloop,774750.184642
inventionoflying,9811746.616889
isanybodythere,1621523.720976
itmightgetloud,1286127.505966
jennifersbody,13052830.846230
jonasbrothers3d,4613045.878284
julia,-5978163.057454
julieandjulia,14700617.884780
katyn,1337887.738364
knowing,25806960.140871
landofthelost,33824369.001757
lasthouseontheleft,11048077.767235
lawabidingcitizen,18235830.378563
limitsofcontrol,389625.472311
littleashes,2583703.398291
lovehappens,9422712.296198
lymelife,-1888682.123705
madeagoestojail,16054472.340591
management,-2207060.017387
medicine,-781038.744870
menwhostareatgoats,17233206.759086
missmarch,5065994.824446
monstersvsaliens,22463451.640300
moon,5739981.198605
morethanagame,-1188401.610573
motherhood,-2931898.110074
mutantchronicles,-230567.123307
mylifeinruins,-4636432.444101
mysisterskeeper,14994932.888119
mysteriesofpittsburgh,2586642.464086
newintown,6488259.791919
nextdayair,3244245.646045
nightatthemuseum2,45955234.942068
ninjaassassin,18513104.884319
noimpactman,-1647998.586353
noteasilybroken,3818010.245744
notforgotten,941704.565549
notorious,5823261.857294
nyiloveyou,-765447.890207
objective,-1419971.680505
observeandreport,14524359.797546
obsessed,10678963.056603
oftimeandthecity,6843162.816446
ohorten,2584510.907795
olddogs,14064270.271356
orphan,7177317.235972
otherman,-633418.341371
outlander,5932486.739782
pandorum,20000201.922427
paperheart,-3972963.513423
paranormalactivity,-1502757.378890
paulblart,17695634.071288
perfectgetaway,7976225.937264
peterandvandy,173853.220813
phoebeinwonderland,-2930052.980499
pinkpanther2,17205233.922811
planet51,22914541.485617
pontypool,-2701397.304995
ponyo,7279722.921987
postgrad,5112728.375609
precious,1642475.387889
privatelivesofpippalee,1030444.677488
proposal,25059418.441221
publicenemies,35416544.961786
push,1110872.177171
redcliff,11638850.165621
revanche,27129.692572
rudoycursi,-4884789.912116
saw6,22388519.060093
septemberissue,2856347.182577
seraphine,-2369860.861201
seriousman,-11106500.010496
seriousmoonlight,-4645541.403546
severedways,-2745850.355418
shallwekiss,378744.264482
shermansway,-407265.693213
shorts,14596359.452953
shrink,-742670.672279
sinnombre,-14864.124543
soloist,3982128.545929
somerstown,2932102.052838
sororityrow,14402948.209435
soulpower,40736.391466
spinningintobutter,-3979640.597139
splinterheads,759033.778087
spread,-2008176.660468
startrek2009,43668532.887740
stateofplay,20018511.729181
stepfather,16210217.537630
stoningofsorayam,-3285840.528078
streetfighterlegendofchunli,5845598.408871
sttrinians,2615611.661120
sugar,-5377478.649564
sunshinecleaning,191323.898153
surrogates,26786295.835499
surveillance,-1449978.004522
taken2009,20283533.868448
takingwoodstock,9189832.446378
taxidermia,2403640.931381
tennessee,-2612830.452343
terminatorsalvation,61879038.403538
thirst,2191939.497446
thisisit,20537585.228543
timetravelerswife,21874545.910402
tokyo,3705752.295892
transformers2,93299102.786553
treelessmountain,-3914196.659500
trucker,-3170281.171656
tulpan,1875431.669115
twolovers,1962706.199920
tyson,5255591.327242
uglytruth,13483650.730884
uninvited,9414115.164858
up,45058329.052340
unmistakenchild,1563909.568795
watchmen,53655724.515612
weathergirl,2083843.485927
weddingsong,-1540226.546963
weliveinpublic2009,3698433.362190
whateverworks,7827523.475805
whatgoesup,-4002447.028921
wherethewildthingsare,25241718.571689
whipit,3114881.054829
whiteout,15092526.101009
witchmountain,16199939.772379
wolverine,58753314.862814
womenintrouble,-4071246.414915
worldsgreatestdad,423386.362046
yearone,27036168.106597
zombieland,16139414.855700
